pkuid,cod_rip,cod_reg,cod_prov,cod_cm,cod_uts,pro_com,pro_com_t,comune,comune_a,cc_uts,shape_leng,shape_area,den_prov,den_cm,den_uts,sigla,tipo_uts,den_reg,den_rip,ontopia
2770,2,4,22,0,22,22017,022017,Bleggio Superiore,,0,28418.0470612,32723459.2736,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022017
2771,2,4,22,0,22,22018,022018,Bocenago,,0,11519.8936263,8547198.21059,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022018
2772,2,4,22,0,22,22021,022021,Bondone,,0,22309.1223683,19324178.506,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022021
2773,2,4,22,0,22,22022,022022,Borgo Valsugana,,0,34022.7256076,52562270.9352,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022022
2774,2,4,22,0,22,22025,022025,Brentonico,,0,34927.3241334,62855897.03,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022025
2775,2,4,22,0,22,22026,022026,Bresimo,,0,28651.8918767,40640037.1959,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022026
2776,2,4,22,0,22,22029,022029,Caderzone Terme,,0,18553.618129,18798505.073,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022029
2777,2,4,22,0,22,22032,022032,Calceranica al Lago,,0,8113.58927156,3374213.90367,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022032
2778,2,4,22,0,22,22033,022033,Caldes,,0,26298.9266372,20535731.3397,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022033
2779,2,4,22,0,22,22034,022034,Caldonazzo,,0,26273.9692097,21119166.3253,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022034
2780,2,4,22,0,22,22035,022035,Calliano,,0,22499.9894878,10185858.4521,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022035
2781,2,4,22,0,22,22036,022036,Campitello di Fassa,,0,27545.6895266,25123142.1161,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022036
2782,2,4,22,0,22,22037,022037,Campodenno,,0,26859.3735573,24726533.0275,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022037
